,place_id,name,business_status,formatted_address,price_level,rating,types
345,ChIJWQn6X8sudTERjw9Dr6GcsaU,Yến sào Cần Giờ Trang Nhi,OPERATIONAL,"947/3 Đ. Cách Mạng Tháng 8, Phường 7, Tân Bình, Thành phố Hồ Chí Minh 760000, Vietnam",,4.7,"['grocery_or_supermarket', 'health', 'food', 'point_of_interest', 'store', 'establishment']"
347,ChIJ4QsSNF8vdTERXuN-QrAWgEw,Cặm Cụi,OPERATIONAL,"Đ. Cách Mạng Tháng 8, Phường 13, Thành phố Hồ Chí Minh, 70000, Vietnam",,0.0,"['point_of_interest', 'store', 'establishment']"
348,ChIJk8jtPDwvdTERseXXC3_whPg,LinhPerfume,OPERATIONAL,"12Ter Đ. Cách Mạng Tháng 8, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, Vietnam",,4.3,"['clothing_store', 'point_of_interest', 'store', 'establishment']"
350,ChIJhfQxPeYudTERB1JkK1p2m-8,Yugioh Saigon Shop,OPERATIONAL,"595/018 Đ. Cách Mạng Tháng 8, Phường 15, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,4.9,"['point_of_interest', 'store', 'establishment']"
353,ChIJX0-CkDIvdTER08LxLzkkRAU,Tạp Hoá Mỹ - Tech and more,OPERATIONAL,"308/1 Đ. Cách Mạng Tháng 8, Phường 10, Quận 3, Thành phố Hồ Chí Minh 700000, Vietnam",,5.0,"['point_of_interest', 'store', 'establishment']"
355,ChIJNRo3UucvdTERErbOhfnvRUQ,Miniso Cách Mạng Tháng Tám,OPERATIONAL,"442 Đ. Cách Mạng Tháng 8, Phường 11, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,4.1,"['point_of_interest', 'store', 'establishment']"
358,ChIJMeJUbSsvdTERMGSuxpEx-hU,Shop Thực phẩm Nga,OPERATIONAL,"374B Đ. Cách Mạng Tháng 8, Phường 10, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,4.0,"['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
363,ChIJNYS1ySUvdTERNJHAZc8tk3s,Cty CP Nhiên liệu Sài Gòn - Cửa hàng xăng dầu số 13,OPERATIONAL,"118 Đ. Cách Mạng Tháng 8, Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,3.9,"['gas_station', 'point_of_interest', 'establishment']"
364,ChIJ8epli80udTERTYvB3Y52aLI,Tam Ky Restaurant,OPERATIONAL,"687 Đ. Cách Mạng Tháng 8, Phường 5, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",,3.8,"['point_of_interest', 'food', 'establishment']"
365,ChIJaWfK29ApdTERVo8w5mFBkyM,Quán ăn đêm Hai Chị Em,OPERATIONAL,"20/15 Đ. Cách Mạng Tháng 8, Phường 5, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",,0.0,"['restaurant', 'point_of_interest', 'food', 'establishment']"
